character,dialogue,episode,line
Threepio,"I don't think so, sir.  I'm only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, I'm not even sure which planet I'm on.",4,132
Luke,"Well, if there's a bright center to the universe, you're on the planet that it's farthest from.",4,133
Threepio,"I see, sir.",4,134
Luke,"Uh, you can call me Luke.",4,135
Threepio,"I see, sir Luke.",4,136
Luke,Just Luke.,4,137
Threepio,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo.",4,138
Luke,Hello.,4,139
Luke,You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.,4,140
Threepio,"With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all.",4,141
Luke,You know of the Rebellion against the Empire?,4,142
Threepio,"That's how we came to be in your service, if you take my meaning, sir.",4,143
Luke,Have you been in many battles?,4,144
Threepio,"Several, I think.  Actually, there's not much to tell.  I'm not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways.",4,145
Luke,"Well, my little friend, you've got something jammed in here real good.  Were you on a starcruiser or...",4,146
Leia,"Help me, Obi-Wan Kenobi.  You'remy only hope.",4,147
Luke,What's this?,4,148
Threepio,What is what?!?  He asked you a question...What is that?,4,149
Leia,"Help me, Obi-Wan Kenobi.  You're my only hope.  Help me, Obi-Wan Kenobi.  You're my only hope.",4,150
Threepio,"Oh, he says it's nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind.",4,151
Luke,Who is she?  She's beautiful.,4,152
Threepio,"I'm afraid I'm not quite sure, sir.",4,153
Leia,"Help me, Obi-Wan Kenobi...",4,154
Threepio,"I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to...",4,155
Luke,Is there more to this recording?,4,156
Threepio,"Behave yourself, Artoo.  You're going to get us in trouble.  It's all right, you can trust him.  He's our new master.",4,157
Threepio,"He says he's the property of Obi-Wan Kenobi, a resident of these parts.  And it's a private message for him.  Quite frankly, sir, I don't know what he's talking about.  Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric.",4,158
Luke,Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?,4,159
Threepio,"I beg your pardon, sir, but do you know what he's talking about?",4,160
Luke,"Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea.  He's kind of a strange old hermit.",4,161
Luke,I wonder who she is.  It sounds like she's in trouble.  I'd better play back the whole thing.,4,162
